상권_코드_명,점포_수
4.19민주묘지역 2번,77
GS강동자이아파트,156
G타워,117
KB국민은행 망원동지점,213
KB국민은행 서강지점,72
KB국민은행 종암동지점,38
KB국민은행 중화동지점,44
KC대학교,35
KT&G 북부지사,37
KT구로지사,86
KT금천빌딩(금천구시설관리공단),104
KT대방빌딩,47
KT월곡지사,77
NH농협은행 보광동지점,157
NH농협은행 상도동지점,117
Sh수협은행 오금동금융센터(아랫말어린이공원),40
가리봉파출소,123
가산동우체국,223
가산동주민센터,120
가산디지털단지역 1번 출입구,66
가산초등학교(세일중학교),225
가양역 10번,137
가오리역 1번,124
가오리역 2번,77
가인초등학교,82
가좌역 2번,150
가좌역 3번,141
간데메공원,242
갈산공원,40
갈현건영아파트,111
강남구보훈회관,75
강남구청역 2번,57
강남구청역 4번,149
강남세브란스병원미래의학연구센터,37
강동구립 천호도서관,157
강동구립성내도서관,286
강동구청(강동구청역 2번),47
강동성심병원,28
강동역 4번(강풀만화거리),500
강북구청,148
강북문화예술회관,121
강북문화정보도서관,22
강북중학교,115
강서고등학교,185
강서구다솔마을,205
강서구청가양동별관,49
강서구청옆,64
강서새말어린이공원,33
강일동주민센터,150
개미어린이공원,33
개봉1동주민센터,298
개봉3동주민센터,87
개봉역,217
개봉중학교,148
개봉초등학교,78
개웅초등학교(개웅중학교),90
개포고등학교,187
개포지구대옆,98
개포지하차도 북측,14
개화산역 1번,88
거여역 1번(거여공원),261
거여역 8번,16
거여초등학교,55
건대입구역 1번,111
건대입구역 6번,409
경기대학교,34
경동고등학교,211
경리단길남측,282
경리단길북측,339
경문고등학교(동작동성당),70
경복고등학교,36
경성고등학교,333
경수초등학교,378
경신고등학교,97
경의선책거리,479
경의중앙 신촌역,72
경찰병원역 3번,88
경찰병원역 4번(건너말공원),65
경춘선숲길 우측,286
경향신문사,72
경희대삼거리,241
경희대후문,72
계남근린공원,42
계상초등학교,195
고대앞사거리,81
고덕동성당,135
고덕중학교(고덕2동주민센터),107
고려대역 4번,80
고려대역 6번,145
고산초등학교,17
고척동성당,88
고척중학교,23
고척초등학교,119
곰달래도서관,242
공군호텔,238
공덕동주민센터,123
공덕래미안3차아파트,60
공릉동 국수거리,402
공릉역 2번,169
공항고등학교,95
공항시장역 1번,243
공항시장역 3번,161
관성묘,31
관악구 중앙길,428
관악구신사동주민센터,364
관악동부센트레빌아파트(은천로35라길),9
관악소방서(문영여고),24
관악우성아파트,103
관악해태어린이공원,88
광나루역 1번,90
광산사거리,95
광운대역 1번,157
광운대학교 남단,70
광진경찰서,50
광진구청,155
광진정말공원,247
광진정보도서관,236
광진초등학교,135
광흥창역 1번,68
광흥창역 6번,70
구남초등학교,67
구로119안전센터,104
구로4동주민센터,388
구로구민회관,65
구로나눔길,154
구로디지털단지역 4번,358
구로보건소,507
구로세무서,46
구로창업지원센터,127
구로초등학교,265
구립대학경로당(관악산샘말공원),543
구반포역,250
구산보건지소,254
구산역 1번,292
구산역 2번,107
구산역 4번,277
구산초등학교,32
구세군강북종합사회복지관,12
구암초등학교,110
구의1동주민센터,294
구의역 4번,452
국기원,43
국립4.19민주묘지,52
국립국악고등학교,105
국립재활원,54
국립정신건강센터,177
국민대학교앞,83
국민은행방학지점,58
국악고교사거리,179
국제신학대학원대학교(남서울중학교),111
군자역 4번,127
군자역 5번,128
군자초등학교,45
굽은다리역 1번(십자성마을),182
굽은다리역 2번,121
굽은다리역 3번,193
굽은다리역 4번,482
그라운드 고척,147
금강수목원아파트,35
금동어린이공원,117
금북초등학교,34
금빛새마을금고본점,62
금산초등학교(금천고등학교),186
금천구립가산도서관,91
금천구청역 1번 출입구,165
금천금빛공원(은행나무사거리서측),109
금천세무서,145
금천어울림복지센터,43
금천철쭉어린이공원(금하마을),94
금천파출소,17
금천해태공원,139
금호사거리,56
금호삼성래미안아파트,132
길동신동아아파트,31
길동주민센터(강동도서관),540
길상사,29
길음역 10번,15
길음역 7번,134
길음역 8번,161
까치산역 1번,278
까치산역 3번,406
까치산역 4번,442
낙성대역 1번(관악구민 종합체육센터),142
낙성대역 5번(관악중학교),51
난곡중학교,131
난곡초등학교(난곡동벽화마을),88
난우중학교,110
난우초등학교,170
난향초등학교,53
남가좌동현대아파트,52
남가좌파출소,260
남강고등학교(남강중학교),300
남구로역 2번,400
남구로역 3번,467
남구로역 5번,256
남부초등학교,127
남부터미널역 1번,167
남산골공원옆,67
남산케이블카,133
남성역 1번,317
남영역 1번,290
남정초등학교,62
남천초등학교,258
남태령역(서울전자고등학교),25
내를건너서숲으로도서관,74
내방역 1번,47
내방역 4번,149
내방역 5번,62
내방역 6번,23
내방역 8번,64
노량진역 6번,218
노량진초등학교,80
노원 을지대학교병원,33
노원역 9번,101
노원초등학교,163
녹번동근린공원,91
논현2동주민센터,286
논현로18길,39
논현목련공원,27
논현역 7번,22
논현초등학교,330
누원고등학교,82
능동우편취급국,221
다산성곽길,50
달마을공원,127
답십리 장령당공원,51
답십리공원,114
답십리사거리,178
답십리역 6번,41
답십리초등학교,202
당고개역 2번,142
당고개역 5번,97
당곡중학교,239
당산반도유보라팰리스아파트,106
당산역 13번,38
당산역 8번,41
대광초등학교,80
대동초등학교,105
대림1동주민센터,147
대림갑을명가아파트,26
대림성모병원,171
대림썬프라자,31
대림역 11번,34
대림역 2번,223
대림역 5번,195
대림차이나타운(대림역 12번),35
대림한신아파트,122
대방역 3번,74
대방역 4번,35
대방역 6번,81
대신고등학교,28
대왕초등학교(세곡동사거리서남측),47
대원고등학교,96
대진고등학교,107
대청초등학교,568
대치2동주민센터,119
대치동아우편취급국,94
대현산장미원,11
대흥동주민센터,62
대흥역 2번,313
대흥역 3번,216
더케이호텔(양재리본타워2단지아파트),71
덕산중학교,24
덕성여대시반거리,75
덕수교,87
