상권_코드_명,폐업_점포_수
4.19민주묘지역 2번,1
GS강동자이아파트,2
G타워,1
KB국민은행 망원동지점,5
KB국민은행 서강지점,1
KB국민은행 종암동지점,0
KB국민은행 중화동지점,0
KC대학교,0
KT&G 북부지사,0
KT구로지사,1
KT금천빌딩(금천구시설관리공단),2
KT대방빌딩,0
KT월곡지사,1
NH농협은행 보광동지점,3
NH농협은행 상도동지점,2
Sh수협은행 오금동금융센터(아랫말어린이공원),0
가리봉파출소,2
가산동우체국,4
가산동주민센터,2
가산디지털단지역 1번 출입구,2
가산초등학교(세일중학교),6
가양역 10번,4
가오리역 1번,3
가오리역 2번,2
가인초등학교,2
가좌역 2번,3
가좌역 3번,3
간데메공원,6
갈산공원,0
갈현건영아파트,5
강남구보훈회관,1
강남구청역 2번,1
강남구청역 4번,2
강남세브란스병원미래의학연구센터,0
강동구립 천호도서관,4
강동구립성내도서관,5
강동구청(강동구청역 2번),1
강동성심병원,2
강동역 4번(강풀만화거리),12
강북구청,4
강북문화예술회관,2
강북문화정보도서관,0
강북중학교,3
강서고등학교,4
강서구다솔마을,4
강서구청가양동별관,1
강서구청옆,2
강서새말어린이공원,0
강일동주민센터,4
개미어린이공원,0
개봉1동주민센터,8
개봉3동주민센터,1
개봉역,5
개봉중학교,3
개봉초등학교,1
개웅초등학교(개웅중학교),2
개포고등학교,2
개포지구대옆,1
개포지하차도 북측,0
개화산역 1번,3
거여역 1번(거여공원),5
거여역 8번,0
거여초등학교,0
건대입구역 1번,2
건대입구역 6번,10
경기대학교,1
경동고등학교,4
경리단길남측,6
경리단길북측,6
경문고등학교(동작동성당),1
경복고등학교,0
경성고등학교,7
경수초등학교,6
경신고등학교,1
경의선책거리,12
경의중앙 신촌역,2
경찰병원역 3번,1
경찰병원역 4번(건너말공원),0
경춘선숲길 우측,7
경향신문사,2
경희대삼거리,5
경희대후문,1
계남근린공원,0
계상초등학교,5
고대앞사거리,2
고덕동성당,4
고덕중학교(고덕2동주민센터),3
고려대역 4번,2
고려대역 6번,4
고산초등학교,0
고척동성당,1
고척중학교,0
고척초등학교,3
곰달래도서관,4
공군호텔,6
공덕동주민센터,2
공덕래미안3차아파트,0
공릉동 국수거리,11
공릉역 2번,4
공항고등학교,1
공항시장역 1번,3
공항시장역 3번,2
관성묘,0
관악구 중앙길,11
관악구신사동주민센터,11
관악동부센트레빌아파트(은천로35라길),0
관악소방서(문영여고),0
관악우성아파트,2
관악해태어린이공원,1
광나루역 1번,0
광산사거리,2
광운대역 1번,3
광운대학교 남단,1
광진경찰서,1
광진구청,2
광진정말공원,5
광진정보도서관,3
광진초등학교,3
광흥창역 1번,2
광흥창역 6번,2
구남초등학교,1
구로119안전센터,3
구로4동주민센터,9
구로구민회관,1
구로나눔길,2
구로디지털단지역 4번,11
구로보건소,10
구로세무서,0
구로창업지원센터,2
구로초등학교,5
구립대학경로당(관악산샘말공원),20
구반포역,5
구산보건지소,7
구산역 1번,6
구산역 2번,1
구산역 4번,6
구산초등학교,1
구세군강북종합사회복지관,0
구암초등학교,4
구의1동주민센터,8
구의역 4번,12
국기원,1
국립4.19민주묘지,0
국립국악고등학교,1
국립재활원,1
국립정신건강센터,4
국민대학교앞,1
국민은행방학지점,2
국악고교사거리,4
