상권_코드_명,프랜차이즈_점포_수
4.19민주묘지역 2번,15
GS강동자이아파트,21
G타워,28
KB국민은행 망원동지점,17
KB국민은행 서강지점,4
KB국민은행 종암동지점,7
KB국민은행 중화동지점,3
KC대학교,2
KT&G 북부지사,4
KT구로지사,2
KT금천빌딩(금천구시설관리공단),11
KT대방빌딩,4
KT월곡지사,7
NH농협은행 보광동지점,12
NH농협은행 상도동지점,10
Sh수협은행 오금동금융센터(아랫말어린이공원),6
가리봉파출소,7
가산동우체국,16
가산동주민센터,17
가산디지털단지역 1번 출입구,3
가산초등학교(세일중학교),11
가양역 10번,12
가오리역 1번,13
가오리역 2번,6
가인초등학교,16
가좌역 2번,11
가좌역 3번,17
간데메공원,17
갈산공원,0
갈현건영아파트,6
강남구보훈회관,3
강남구청역 2번,1
강남구청역 4번,1
강남세브란스병원미래의학연구센터,4
강동구립 천호도서관,10
강동구립성내도서관,18
강동구청(강동구청역 2번),3
강동성심병원,11
강동역 4번(강풀만화거리),36
강북구청,9
강북문화예술회관,12
강북문화정보도서관,1
강북중학교,7
강서고등학교,14
강서구다솔마을,9
강서구청가양동별관,8
강서구청옆,9
강서새말어린이공원,2
강일동주민센터,36
개미어린이공원,0
개봉1동주민센터,20
개봉3동주민센터,5
개봉역,28
개봉중학교,19
개봉초등학교,8
개웅초등학교(개웅중학교),11
개포고등학교,20
개포지구대옆,4
개포지하차도 북측,0
개화산역 1번,3
거여역 1번(거여공원),20
거여역 8번,2
거여초등학교,3
건대입구역 1번,9
건대입구역 6번,21
경기대학교,6
경동고등학교,10
경리단길남측,19
경리단길북측,15
경문고등학교(동작동성당),10
경복고등학교,1
경성고등학교,19
경수초등학교,15
경신고등학교,6
경의선책거리,22
경의중앙 신촌역,9
경찰병원역 3번,3
경찰병원역 4번(건너말공원),5
경춘선숲길 우측,41
경향신문사,20
경희대삼거리,20
경희대후문,16
계남근린공원,1
계상초등학교,14
고대앞사거리,5
고덕동성당,19
고덕중학교(고덕2동주민센터),11
고려대역 4번,7
고려대역 6번,13
고산초등학교,2
고척동성당,10
고척중학교,1
고척초등학교,11
곰달래도서관,12
공군호텔,25
공덕동주민센터,8
공덕래미안3차아파트,3
공릉동 국수거리,23
공릉역 2번,10
공항고등학교,9
공항시장역 1번,12
공항시장역 3번,6
관성묘,0
관악구 중앙길,46
관악구신사동주민센터,37
관악동부센트레빌아파트(은천로35라길),0
관악소방서(문영여고),2
관악우성아파트,9
관악해태어린이공원,12
광나루역 1번,7
광산사거리,7
광운대역 1번,26
광운대학교 남단,8
광진경찰서,7
광진구청,9
광진정말공원,16
광진정보도서관,16
광진초등학교,6
광흥창역 1번,11
광흥창역 6번,3
구남초등학교,5
구로119안전센터,6
구로4동주민센터,33
구로구민회관,10
구로나눔길,6
구로디지털단지역 4번,12
구로보건소,27
구로세무서,1
구로창업지원센터,9
구로초등학교,10
구립대학경로당(관악산샘말공원),53
구반포역,6
구산보건지소,16
구산역 1번,26
구산역 2번,9
구산역 4번,16
구산초등학교,0
구세군강북종합사회복지관,0
구암초등학교,10
구의1동주민센터,23
구의역 4번,33
국기원,1
국립4.19민주묘지,3
국립국악고등학교,4
국립재활원,2
국립정신건강센터,12
국민대학교앞,9
국민은행방학지점,10
국악고교사거리,10
국제신학대학원대학교(남서울중학교),9
군자역 4번,10
군자역 5번,16
군자초등학교,1
굽은다리역 1번(십자성마을),20
굽은다리역 2번,11
굽은다리역 3번,12
굽은다리역 4번,28
그라운드 고척,54
금강수목원아파트,0
금동어린이공원,8
금북초등학교,4
금빛새마을금고본점,3
금산초등학교(금천고등학교),16
금천구립가산도서관,7
금천구청역 1번 출입구,19
금천금빛공원(은행나무사거리서측),8
금천세무서,5
금천어울림복지센터,3
금천철쭉어린이공원(금하마을),5
금천파출소,0
금천해태공원,10
금호사거리,3
금호삼성래미안아파트,13
길동신동아아파트,4
길동주민센터(강동도서관),29
길상사,0
길음역 10번,1
길음역 7번,13
길음역 8번,14
까치산역 1번,24
까치산역 3번,27
까치산역 4번,30
낙성대역 1번(관악구민 종합체육센터),10
낙성대역 5번(관악중학교),5
난곡중학교,11
난곡초등학교(난곡동벽화마을),8
난우중학교,10
난우초등학교,21
난향초등학교,4
남가좌동현대아파트,5
남가좌파출소,22
남강고등학교(남강중학교),35
남구로역 2번,28
남구로역 3번,15
남구로역 5번,10
남부초등학교,11
남부터미널역 1번,9
남산골공원옆,6
남산케이블카,4
남성역 1번,29
남영역 1번,18
남정초등학교,0
남천초등학교,25
남태령역(서울전자고등학교),3
내를건너서숲으로도서관,5
내방역 1번,2
내방역 4번,6
내방역 5번,1
내방역 6번,0
내방역 8번,3
노량진역 6번,13
노량진초등학교,3
노원 을지대학교병원,10
노원역 9번,6
노원초등학교,15
녹번동근린공원,7
논현2동주민센터,11
논현로18길,2
논현목련공원,1
논현역 7번,1
논현초등학교,29
누원고등학교,10
능동우편취급국,16
다산성곽길,0
달마을공원,10
답십리 장령당공원,0
답십리공원,14
답십리사거리,11
답십리역 6번,2
답십리초등학교,26
당고개역 2번,4
당고개역 5번,4
당곡중학교,22
당산반도유보라팰리스아파트,8
당산역 13번,0
당산역 8번,0
대광초등학교,7
대동초등학교,2
대림1동주민센터,13
대림갑을명가아파트,2
대림성모병원,19
대림썬프라자,2
대림역 11번,1
대림역 2번,14
대림역 5번,5
대림차이나타운(대림역 12번),0
대림한신아파트,5
대방역 3번,12
대방역 4번,1
대방역 6번,8
대신고등학교,2
대왕초등학교(세곡동사거리서남측),1
대원고등학교,6
대진고등학교,12
대청초등학교,75
대치2동주민센터,6
대치동아우편취급국,8
대현산장미원,1
대흥동주민센터,3
대흥역 2번,34
대흥역 3번,14
더케이호텔(양재리본타워2단지아파트),7
덕산중학교,1
덕성여대시반거리,11
덕수교,6
덕의초등학교,9
도곡2동주민센터(대치중학교),0
도곡초등학교,21
도림2동유수지내체육시설,10
도림동주민센터,4
도림초등학교,2
도봉구 정병원,8
도봉구민회관,6
도봉구보건소,19
도봉산역 1번,11
도봉산입구,33
도봉세무서,7
도봉역 2번,23
도봉역 3번,2
도봉우체국,7
도산공원북측,0
도신초등학교,9
독립문역 1번,7
독산119안전센터,13
독산2동주민센터,15
독산동성당,17
독산동정훈단지,13
독산역 1번 출입구,12
돈의문센트레빌아파트입구,4
돌곶이역 1번,4
돌곶이역 3번,2
돌곶이역 5번,16
돌곶이역 8번,13
동교초등학교,15
동구여중,4
동대문경찰서,2
동대문구청,11
동대문역 1번,7
동대문역 3번,1
동대문역사문화공원역 5번,3
동대문중앙새마을금고본점,0
동대부고,22
동대부여고,13
동덕여대,1
동묘앞역 2번,13
동묘앞역 3번,4
동의보감타워,7
동의초등학교,3
동일여자고등학교,10
동작구자원봉사센터,5
두산초등학교,6
둔촌2동주민센터,17
둔촌고등학교(둔촌중학교),4
둔촌동역 1번(한산중학교),20
둔촌동역 3번(성내3동주민센터),7
둔촌동역 4번,11
둔촌푸르지오아파트,2
등촌1동주민센터,32
등촌3동주민센터,55
등촌역 1번,4
등촌역 4번,5
등촌역 7번,4
떡전교사거리,4
뚝섬역교차로,7
뚝섬유원지역 1번,1
뜸부기어린이공원,8
러스크서울병원,13
리움미술관,0
마장역 2번,18
마장역 3번,6
마장지하차도,1
마천1치안센터,2
마천공원,3
마천역(마천초등학교),32
마포FM,3
마포경찰서,8
마포구청역 1번,32
마포구청역 4번,10
마포구청역 7번,22
마포역 4번,2
만리재,7
말미고개,21
망리단길,40
망우3동주민센터,6
망우본동주민센터,24
망우역 1번,13
망우역 2번,20
망원나들목체육관,4
망원역 1번,10
매봉역 1번,3
먹골역 1번,29
먹골역 5번,8
먹골파출소,3
메가박스 상봉,21
메디힐병원,19
면동초등학교,10
면목2동체육관,13
면목5동주민센터,8
면목동우체국,17
면목역 1번,11
면목역 2번,23
면목역 3번,7
명일역 1번,8
명지대학교,62
명지대학교교회,40
명지전문대,2
모래내우체국,18
목4동주민센터,3
목동로데오거리,7
목동문화체육센터,5
목동보건지소,27
목동센트럴아이파크앞,9
목동역 5번,7
묘곡초등학교(고덕아이파크아파트),31
무너미어린이공원,8
문래동남성맨션,3
문래동사거리,1
문래소공원,1
문래역 3번,0
문래예술촌(문래창작촌),15
문래중학교,9
문성초등학교,15
문이교,1
문정동성당,6
문정역 1번,8
문정역 2번,13
문정초등학교,19
문현중학교(장지역 1번),18
미근동,6
미림여고,4
미성동주민센터,14
미성초등학교,15
미아사거리역 3번,4
미아역 5번,5
미아역 8번,8
미아초등학교,6
바우뫼공원,5
반포4동주민센터(몽마르뜨공원),2
발바닥공원,5
발산역 5번,16
방배노인종합복지관(이수중학교),4
방배동사이길,8
방배배수지체육공원,0
방배아이파크아파트,8
