상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
4.19민주묘지역 2번,178749932.34210527,9819.157894736842,15,153409088.0,89964172.0,77,9,1,강북구,8131,7759,9025
KT&G 북부지사,148917354.9019608,13111.862745098038,4,103482570.0,37930942.0,37,3,0,강북구,3467,3724,2559
가오리역 1번,173682325.54945055,11684.989010989011,13,134732302.0,83764265.0,124,18,3,강북구,18027,19683,21346
가오리역 2번,133009317.20754716,6844.8490566037735,6,345845765.0,214115966.0,77,8,2,강북구,9648,8522,13194
강북구청,195518456.54545453,9232.64935064935,9,236654594.0,115900636.0,148,20,4,강북구,25973,26332,29576
강북문화예술회관,130315856.4318182,7560.829545454545,12,424989688.0,245073784.0,121,13,2,강북구,27859,21827,39459
강북문화정보도서관,42378008.0,3908.0,1,315433892.0,204484658.0,22,2,0,강북구,13784,10741,19316
강북중학교,168869799.06666666,7345.946666666667,7,410166924.0,252899933.0,115,14,3,강북구,29390,24691,36072
광산사거리,161369715.58441558,5704.467532467533,7,279012528.0,157888917.0,95,11,2,강북구,12482,10535,17112
구세군강북종합사회복지관,131708985.25,13743.5,0,192229415.0,126055937.0,12,1,0,강북구,3022,2308,4500
국립4.19민주묘지,576904465.55,20488.35,3,63882753.0,38576685.0,52,1,0,강북구,969,817,1392
국립재활원,107171277.6511628,7548.511627906977,2,345538792.0,238210219.0,54,3,1,강북구,15644,12436,22881
덕수교,111114796.29787232,4908.31914893617,6,433485193.0,277166639.0,87,6,1,강북구,17577,13821,25818
도봉세무서,239347315.57352945,7973.808823529412,7,408020890.0,234014782.0,143,16,2,강북구,17136,17891,18210
무너미어린이공원,92698622.52542374,3773.661016949152,8,597468723.0,386385045.0,98,9,1,강북구,14644,12179,19309
미아사거리역 3번,337403952.972973,6275.175675675676,4,87369834.0,37038067.0,84,4,1,강북구,10719,10790,10119
미아역 5번,168214295.74,12319.66,5,650148642.0,374155064.0,107,12,1,강북구,15661,11890,23294
미아역 8번,183460855.2560976,12058.975609756097,8,712968693.0,421446958.0,164,18,4,강북구,17070,15373,18093
번동주공2단지,95184605.29230767,4565.492307692308,4,48262749.0,16880846.0,42,2,0,강북구,3855,3603,3384
북한산우이역 2번,307452588.5769231,19599.48076923077,6,263880693.0,186942106.0,78,11,2,강북구,4466,3364,4878
삼각산119안전센터,183597299.96551725,5929.379310344828,14,22538569.0,13410181.0,56,3,1,강북구,2779,3058,2840
삼양사거리역 1번,107133964.28787878,5177.181818181818,9,350114470.0,193515100.0,97,6,2,강북구,15394,13751,19554
삼양사거리역 2번,180422135.11578947,9794.01052631579,10,402329972.0,167706421.0,102,10,1,강북구,22784,20647,27813
삼양입구사거리,300843182.4631579,17140.6,7,190538680.0,87822372.0,127,14,2,강북구,11473,9663,13568
서울북부고용노동지청,194294455.69117647,9622.514705882351,2,370205850.0,198784751.0,90,7,1,강북구,12861,10888,16302
성신여대운정그린캠퍼스,444933134.5966387,11363.504201680673,17,629157956.0,380012502.0,255,39,8,강북구,20956,17251,28533
솔밭공원역 2번,211870693.9318182,13666.977272727272,11,397728629.0,250732832.0,119,19,2,강북구,11807,9399,15647
송중동주민센터,130887310.36263736,9338.142857142857,9,199485151.0,93314537.0,109,13,3,강북구,11094,9954,16303
송중초등학교,178833803.23423424,9319.576576576575,18,701065751.0,383047546.0,265,27,7,강북구,42954,35361,55036
송천동주민센터,93483337.69444443,6913.138888888889,4,75871735.0,36285228.0,39,5,1,강북구,5559,4690,7065
송천초등학교,81795088.46969697,6760.106060606061,8,411526040.0,150231319.0,139,8,2,강북구,46096,39967,60792
수송초등학교,195534532.2357143,16052.685714285712,21,932572160.0,448845296.0,297,38,10,강북구,52638,44099,76459
수유1동주민센터,184407742.3909091,10377.427272727273,9,651522106.0,411865303.0,160,17,3,강북구,27894,22529,41039
수유동우체국,250507870.4933333,5385.986666666667,6,287033233.0,200298566.0,96,11,2,강북구,12274,12511,15130
수유북부시장옆,89166380.85,5026.616666666667,4,411057880.0,246408716.0,87,13,3,강북구,10790,7977,14336
수유시장옆,142472713.77011493,7293.896551724138,11,859220930.0,508691569.0,119,12,2,강북구,17743,13644,26964
수유역 2번,200898348.7638889,9861.833333333334,7,356417211.0,171085676.0,151,22,3,강북구,22693,19950,28473
